,DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,sat_score,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5,Demographic,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Dropped Out - n,Dropped Out - % of cohort,schoolyear,total_enrollment,ell_num,ell_percent,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,boro,lat,lon
10,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383.0,423.0,366.0,1172.0,39.0,49.0,10.0,Total Cohort,2006,124.0,53,42.7%,20,16.100000000000001%,20082009,586,39.0,6.7,113,19.3,138,23.5,280,47.8,25,4.3,307.0,52.4,279.0,47.6,Manhattan,40.7123318510005,-73.98479662499966
11,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383.0,423.0,366.0,1172.0,39.0,49.0,10.0,Total Cohort,2006,124.0,53,42.7%,20,16.100000000000001%,20092010,532,28.0,5.3,96,18.0,144,27.1,247,46.4,25,4.7,286.0,53.8,246.0,46.2,Manhattan,40.7123318510005,-73.98479662499966
12,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383.0,423.0,366.0,1172.0,39.0,49.0,10.0,Total Cohort,2006,124.0,53,42.7%,20,16.100000000000001%,20102011,488,54.0,11.1,110,22.5,128,26.2,232,47.5,18,3.7,275.0,56.4,213.0,43.6,Manhattan,40.7123318510005,-73.98479662499966
13,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383.0,423.0,366.0,1172.0,39.0,49.0,10.0,Total Cohort,2006,124.0,53,42.7%,20,16.100000000000001%,20112012,394,83.0,21.1,115,29.2,89,22.6,181,45.9,9,2.3,226.0,57.4,168.0,42.6,Manhattan,40.7123318510005,-73.98479662499966
14,01M450,EAST SIDE COMMUNITY SCHOOL,70,377.0,402.0,370.0,1149.0,19.0,21.0,154.64675592173018,Total Cohort,2006,90.0,70,77.8%,5,5.6%,20052006,501,30.0,6.0,32,6.4,138,27.5,299,59.7,28,5.6,244.0,48.7,257.0,51.3,Manhattan,40.72978268700047,-73.98304144099967
15,01M450,EAST SIDE COMMUNITY SCHOOL,70,377.0,402.0,370.0,1149.0,19.0,21.0,154.64675592173018,Total Cohort,2006,90.0,70,77.8%,5,5.6%,20062007,562,28.0,5.0,27,4.8,161,28.6,337,60.0,30,5.3,296.0,52.7,266.0,47.3,Manhattan,40.72978268700047,-73.98304144099967
16,01M450,EAST SIDE COMMUNITY SCHOOL,70,377.0,402.0,370.0,1149.0,19.0,21.0,154.64675592173018,Total Cohort,2006,90.0,70,77.8%,5,5.6%,20072008,554,35.0,6.3,31,5.6,149,26.9,335,60.5,29,5.2,288.0,52.0,266.0,48.0,Manhattan,40.72978268700047,-73.98304144099967
17,01M450,EAST SIDE COMMUNITY SCHOOL,70,377.0,402.0,370.0,1149.0,19.0,21.0,154.64675592173018,Total Cohort,2006,90.0,70,77.8%,5,5.6%,20082009,546,27.0,4.9,34,6.2,145,26.6,326,59.7,33,6.0,285.0,52.2,261.0,47.8,Manhattan,40.72978268700047,-73.98304144099967
18,01M450,EAST SIDE COMMUNITY SCHOOL,70,377.0,402.0,370.0,1149.0,19.0,21.0,154.64675592173018,Total Cohort,2006,90.0,70,77.8%,5,5.6%,20092010,559,37.0,6.6,42,7.5,151,27.0,321,57.4,31,5.5,299.0,53.5,260.0,46.5,Manhattan,40.72978268700047,-73.98304144099967
19,01M450,EAST SIDE COMMUNITY SCHOOL,70,377.0,402.0,370.0,1149.0,19.0,21.0,154.64675592173018,Total Cohort,2006,90.0,70,77.8%,5,5.6%,20102011,599,42.0,7.0,48,8.0,152,25.4,339,56.6,58,9.7,319.0,53.3,280.0,46.7,Manhattan,40.72978268700047,-73.98304144099967
20,01M450,EAST SIDE COMMUNITY SCHOOL,70,377.0,402.0,370.0,1149.0,19.0,21.0,154.64675592173018,Total Cohort,2006,90.0,70,77.8%,5,5.6%,20112012,598,30.0,5.0,58,9.7,143,23.9,331,55.4,62,10.4,327.0,54.7,271.0,45.3,Manhattan,40.72978268700047,-73.98304144099967
21,01M509,MARTA VALLE HIGH SCHOOL,44,390.0,433.0,384.0,1207.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,84.0,47,56%,5,6%,20052006,558,78.0,14.0,92,16.5,76,13.6,371,66.5,13,2.3,298.0,53.4,260.0,46.6,Manhattan,40.72056907900048,-73.98567269099966
22,01M509,MARTA VALLE HIGH SCHOOL,44,390.0,433.0,384.0,1207.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,84.0,47,56%,5,6%,20062007,619,72.0,11.6,82,13.2,117,18.9,410,66.2,10,1.6,307.0,49.6,312.0,50.4,Manhattan,40.72056907900048,-73.98567269099966
23,01M509,MARTA VALLE HIGH SCHOOL,44,390.0,433.0,384.0,1207.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,84.0,47,56%,5,6%,20072008,522,81.0,15.5,61,11.7,90,17.2,361,69.2,10,1.9,268.0,51.3,254.0,48.7,Manhattan,40.72056907900048,-73.98567269099966
24,01M509,MARTA VALLE HIGH SCHOOL,44,390.0,433.0,384.0,1207.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,84.0,47,56%,5,6%,20082009,441,57.0,12.9,52,11.8,78,17.7,303,68.7,8,1.8,230.0,52.2,211.0,47.8,Manhattan,40.72056907900048,-73.98567269099966
25,01M509,MARTA VALLE HIGH SCHOOL,44,390.0,433.0,384.0,1207.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,84.0,47,56%,5,6%,20092010,352,44.0,12.5,41,11.6,65,18.5,239,67.9,7,2.0,178.0,50.6,174.0,49.4,Manhattan,40.72056907900048,-73.98567269099966
26,01M509,MARTA VALLE HIGH SCHOOL,44,390.0,433.0,384.0,1207.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,84.0,47,56%,5,6%,20102011,370,50.0,13.5,39,10.5,90,24.3,234,63.2,6,1.6,182.0,49.2,188.0,50.8,Manhattan,40.72056907900048,-73.98567269099966
27,01M509,MARTA VALLE HIGH SCHOOL,44,390.0,433.0,384.0,1207.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,84.0,47,56%,5,6%,20112012,367,41.0,11.2,34,9.3,116,31.6,209,56.9,6,1.6,170.0,46.3,197.0,53.7,Manhattan,40.72056907900048,-73.98567269099966
28,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522.0,574.0,525.0,1621.0,255.0,377.0,191.0,Total Cohort,2006,46.0,46,100%,0,0%,20052006,755,1.0,0.1,132,17.5,61,8.1,132,17.5,416,55.1,330.0,43.7,425.0,56.3,Manhattan,40.71872545100047,-73.97942638599966
29,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522.0,574.0,525.0,1621.0,255.0,377.0,191.0,Total Cohort,2006,46.0,46,100%,0,0%,20062007,879,88.209375,0.0,182,20.7,64,7.3,132,15.0,499,56.8,393.0,44.7,486.0,55.3,Manhattan,40.71872545100047,-73.97942638599966
30,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522.0,574.0,525.0,1621.0,255.0,377.0,191.0,Total Cohort,2006,46.0,46,100%,0,0%,20072008,1063,5.0,0.5,238,22.4,103,9.7,163,15.3,551,51.8,491.0,46.2,572.0,53.8,Manhattan,40.71872545100047,-73.97942638599966
31,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522.0,574.0,525.0,1621.0,255.0,377.0,191.0,Total Cohort,2006,46.0,46,100%,0,0%,20082009,1302,3.0,0.2,284,21.8,146,11.2,216,16.6,643,49.4,625.0,48.0,677.0,52.0,Manhattan,40.71872545100047,-73.97942638599966
32,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522.0,574.0,525.0,1621.0,255.0,377.0,191.0,Total Cohort,2006,46.0,46,100%,0,0%,20092010,1480,7.0,0.5,373,25.2,172,11.6,234,15.8,660,44.6,705.0,47.6,775.0,52.4,Manhattan,40.71872545100047,-73.97942638599966
33,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522.0,574.0,525.0,1621.0,255.0,377.0,191.0,Total Cohort,2006,46.0,46,100%,0,0%,20102011,1583,6.0,0.4,411,26.0,192,12.1,241,15.2,725,45.8,766.0,48.4,817.0,51.6,Manhattan,40.71872545100047,-73.97942638599966
34,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522.0,574.0,525.0,1621.0,255.0,377.0,191.0,Total Cohort,2006,46.0,46,100%,0,0%,20112012,1613,4.0,0.2,448,27.8,189,11.7,229,14.2,725,44.9,794.0,49.2,819.0,50.8,Manhattan,40.71872545100047,-73.97942638599966
35,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624.0,604.0,628.0,1856.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,139.0,134,96.4%,1,0.7%,20052006,513,1.0,0.2,63,12.3,102,19.9,96,18.7,185,36.1,129.0,25.1,384.0,74.9,Manhattan,40.71896161700045,-73.97606602099967
36,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624.0,604.0,628.0,1856.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,139.0,134,96.4%,1,0.7%,20062007,546,88.209375,0.0,59,10.8,100,18.3,96,17.6,205,37.5,154.0,28.2,392.0,71.8,Manhattan,40.71896161700045,-73.97606602099967
37,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624.0,604.0,628.0,1856.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,139.0,134,96.4%,1,0.7%,20072008,543,88.209375,0.0,58,10.7,95,17.5,93,17.1,204,37.6,170.0,31.3,373.0,68.7,Manhattan,40.71896161700045,-73.97606602099967
38,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624.0,604.0,628.0,1856.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,139.0,134,96.4%,1,0.7%,20082009,575,88.209375,0.0,76,13.2,102,17.7,108,18.8,239,41.6,190.0,33.0,385.0,67.0,Manhattan,40.71896161700045,-73.97606602099967
39,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624.0,604.0,628.0,1856.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,139.0,134,96.4%,1,0.7%,20092010,584,88.209375,11.814323258869907,74,12.7,94,16.1,100,17.1,258,44.2,198.0,33.9,386.0,66.1,Manhattan,40.71896161700045,-73.97606602099967
40,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624.0,604.0,628.0,1856.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,139.0,134,96.4%,1,0.7%,20102011,588,2.0,0.3,87,14.8,84,14.3,95,16.2,313,53.2,187.0,31.8,401.0,68.2,Manhattan,40.71896161700045,-73.97606602099967
41,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624.0,604.0,628.0,1856.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,139.0,134,96.4%,1,0.7%,20112012,617,1.0,0.2,93,15.1,93,15.1,112,18.2,307,49.8,193.0,31.3,424.0,68.7,Manhattan,40.71896161700045,-73.97606602099967
42,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395.0,400.0,387.0,1182.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,25.0,19,76%,1,4%,20052006,166,2.0,1.2,9,5.4,42,25.3,94,56.6,19,11.4,82.0,49.4,84.0,50.6,Manhattan,40.73859908700047,-73.98251191099969
43,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395.0,400.0,387.0,1182.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,25.0,19,76%,1,4%,20062007,212,4.0,1.9,9,4.2,54,25.5,117,55.2,28,13.2,87.0,41.0,125.0,59.0,Manhattan,40.73859908700047,-73.98251191099969
44,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395.0,400.0,387.0,1182.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,25.0,19,76%,1,4%,20072008,211,5.0,2.4,9,4.3,71,33.6,107,50.7,23,10.9,73.0,34.6,138.0,65.4,Manhattan,40.73859908700047,-73.98251191099969
45,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395.0,400.0,387.0,1182.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,25.0,19,76%,1,4%,20082009,183,3.0,1.6,8,4.4,63,34.4,92,50.3,19,10.4,62.0,33.9,121.0,66.1,Manhattan,40.73859908700047,-73.98251191099969
46,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395.0,400.0,387.0,1182.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,25.0,19,76%,1,4%,20092010,157,3.0,1.9,6,3.8,49,31.2,87,55.4,14,8.9,57.0,36.3,100.0,63.7,Manhattan,40.73859908700047,-73.98251191099969
47,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395.0,400.0,387.0,1182.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,25.0,19,76%,1,4%,20102011,157,15.0,9.6,4,2.5,51,32.5,88,56.1,14,8.9,65.0,41.4,92.0,58.6,Manhattan,40.73859908700047,-73.98251191099969
48,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395.0,400.0,387.0,1182.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,25.0,19,76%,1,4%,20112012,174,14.0,8.0,3,1.7,56,32.2,103,59.2,11,6.3,74.0,42.5,100.0,57.5,Manhattan,40.73859908700047,-73.98251191099969
49,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409.0,393.0,392.0,1194.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,102.0,91,89.2%,3,2.9%,20052006,204,11.0,5.4,4,2.0,98,48.0,85,41.7,7,3.4,78.0,38.2,126.0,61.8,Manhattan,40.765026708000455,-73.99251657799965
50,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409.0,393.0,392.0,1194.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,102.0,91,89.2%,3,2.9%,20062007,324,15.0,4.6,7,2.2,149,46.0,149,46.0,13,4.0,133.0,41.0,191.0,59.0,Manhattan,40.765026708000455,-73.99251657799965
51,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409.0,393.0,392.0,1194.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,102.0,91,89.2%,3,2.9%,20072008,405,21.0,5.2,8,2.0,196,48.4,177,43.7,15,3.7,167.0,41.2,238.0,58.8,Manhattan,40.765026708000455,-73.99251657799965
52,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409.0,393.0,392.0,1194.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,102.0,91,89.2%,3,2.9%,20082009,433,16.0,3.7,10,2.3,200,46.2,202,46.7,17,3.9,188.0,43.4,245.0,56.6,Manhattan,40.765026708000455,-73.99251657799965
53,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409.0,393.0,392.0,1194.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,102.0,91,89.2%,3,2.9%,20092010,436,13.0,3.0,8,1.8,196,45.0,209,47.9,15,3.4,187.0,42.9,249.0,57.1,Manhattan,40.765026708000455,-73.99251657799965
54,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409.0,393.0,392.0,1194.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,102.0,91,89.2%,3,2.9%,20102011,423,13.0,3.1,8,1.9,196,46.3,201,47.5,16,3.8,180.0,42.6,243.0,57.4,Manhattan,40.765026708000455,-73.99251657799965
55,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409.0,393.0,392.0,1194.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,102.0,91,89.2%,3,2.9%,20112012,433,9.0,2.1,13,3.0,191,44.1,206,47.6,21,4.8,195.0,45.0,238.0,55.0,Manhattan,40.765026708000455,-73.99251657799965
56,02M294,ESSEX STREET ACADEMY,53,394.0,384.0,378.0,1156.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,89.0,64,71.900000000000006%,9,10.1%,20052006,183,10.0,5.5,12,6.6,42,23.0,95,51.9,22,12.0,96.0,52.5,87.0,47.5,Manhattan,40.71686722400045,-73.98953194299962
57,02M294,ESSEX STREET ACADEMY,53,394.0,384.0,378.0,1156.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,89.0,64,71.900000000000006%,9,10.1%,20062007,270,20.0,7.4,14,5.2,65,24.1,146,54.1,38,14.1,144.0,53.3,126.0,46.7,Manhattan,40.71686722400045,-73.98953194299962
58,02M294,ESSEX STREET ACADEMY,53,394.0,384.0,378.0,1156.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,89.0,64,71.900000000000006%,9,10.1%,20072008,343,22.0,6.4,21,6.1,88,25.7,194,56.6,36,10.5,179.0,52.2,164.0,47.8,Manhattan,40.71686722400045,-73.98953194299962
59,02M294,ESSEX STREET ACADEMY,53,394.0,384.0,378.0,1156.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,89.0,64,71.900000000000006%,9,10.1%,20082009,353,24.0,6.8,18,5.1,108,30.6,195,55.2,29,8.2,183.0,51.8,170.0,48.2,Manhattan,40.71686722400045,-73.98953194299962
60,02M294,ESSEX STREET ACADEMY,53,394.0,384.0,378.0,1156.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,89.0,64,71.900000000000006%,9,10.1%,20092010,365,23.0,6.3,17,4.7,108,29.6,207,56.7,28,7.7,189.0,51.8,176.0,48.2,Manhattan,40.71686722400045,-73.98953194299962
61,02M294,ESSEX STREET ACADEMY,53,394.0,384.0,378.0,1156.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,89.0,64,71.900000000000006%,9,10.1%,20102011,328,18.0,5.5,17,5.2,95,29.0,191,58.2,24,7.3,177.0,54.0,151.0,46.0,Manhattan,40.71686722400045,-73.98953194299962
62,02M294,ESSEX STREET ACADEMY,53,394.0,384.0,378.0,1156.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,89.0,64,71.900000000000006%,9,10.1%,20112012,343,13.0,3.8,14,4.1,95,27.7,208,60.6,26,7.6,183.0,53.4,160.0,46.6,Manhattan,40.71686722400045,-73.98953194299962
63,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374.0,375.0,362.0,1111.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,75.0,58,77.3%,5,6.7%,20052006,214,12.0,5.6,6,2.8,76,35.5,118,55.1,8,3.7,59.0,27.6,155.0,72.4,Manhattan,40.765026708000455,-73.99251657799965
64,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374.0,375.0,362.0,1111.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,75.0,58,77.3%,5,6.7%,20062007,303,13.0,4.3,10,3.3,104,34.3,170,56.1,9,3.0,83.0,27.4,220.0,72.6,Manhattan,40.765026708000455,-73.99251657799965
65,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374.0,375.0,362.0,1111.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,75.0,58,77.3%,5,6.7%,20072008,376,23.0,6.1,15,4.0,133,35.4,204,54.3,12,3.2,113.0,30.1,263.0,69.9,Manhattan,40.765026708000455,-73.99251657799965
66,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374.0,375.0,362.0,1111.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,75.0,58,77.3%,5,6.7%,20082009,389,22.0,5.7,21,5.4,133,34.2,224,57.6,10,2.6,111.0,28.5,278.0,71.5,Manhattan,40.765026708000455,-73.99251657799965
67,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374.0,375.0,362.0,1111.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,75.0,58,77.3%,5,6.7%,20092010,386,39.0,10.1,19,4.9,124,32.1,230,59.6,7,1.8,115.0,29.8,271.0,70.2,Manhattan,40.765026708000455,-73.99251657799965
68,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374.0,375.0,362.0,1111.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,75.0,58,77.3%,5,6.7%,20102011,390,50.0,12.8,21,5.4,114,29.2,247,63.3,7,1.8,126.0,32.3,264.0,67.7,Manhattan,40.765026708000455,-73.99251657799965
69,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374.0,375.0,362.0,1111.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,75.0,58,77.3%,5,6.7%,20112012,419,40.0,9.5,22,5.3,111,26.5,277,66.1,9,2.1,135.0,32.2,284.0,67.8,Manhattan,40.765026708000455,-73.99251657799965
70,02M298,PACE HIGH SCHOOL,85,423.0,438.0,432.0,1293.0,21.0,21.0,154.64675592173018,Total Cohort,2006,92.0,78,84.8%,4,4.3%,20052006,208,4.0,1.9,80,38.5,49,23.6,48,23.1,11,5.3,108.0,51.9,100.0,48.1,Manhattan,40.716412393000496,-73.99267584399969
71,02M298,PACE HIGH SCHOOL,85,423.0,438.0,432.0,1293.0,21.0,21.0,154.64675592173018,Total Cohort,2006,92.0,78,84.8%,4,4.3%,20062007,310,5.0,1.6,91,29.4,85,27.4,90,29.0,16,5.2,160.0,51.6,150.0,48.4,Manhattan,40.716412393000496,-73.99267584399969
72,02M298,PACE HIGH SCHOOL,85,423.0,438.0,432.0,1293.0,21.0,21.0,154.64675592173018,Total Cohort,2006,92.0,78,84.8%,4,4.3%,20072008,410,3.0,0.7,119,29.0,107,26.1,127,31.0,30,7.3,205.0,50.0,205.0,50.0,Manhattan,40.716412393000496,-73.99267584399969
73,02M298,PACE HIGH SCHOOL,85,423.0,438.0,432.0,1293.0,21.0,21.0,154.64675592173018,Total Cohort,2006,92.0,78,84.8%,4,4.3%,20082009,410,9.0,2.2,81,19.8,122,29.8,162,39.5,25,6.1,191.0,46.6,219.0,53.4,Manhattan,40.716412393000496,-73.99267584399969
74,02M298,PACE HIGH SCHOOL,85,423.0,438.0,432.0,1293.0,21.0,21.0,154.64675592173018,Total Cohort,2006,92.0,78,84.8%,4,4.3%,20092010,413,5.0,1.2,58,14.0,133,32.2,175,42.4,31,7.5,189.0,45.8,224.0,54.2,Manhattan,40.716412393000496,-73.99267584399969
75,02M298,PACE HIGH SCHOOL,85,423.0,438.0,432.0,1293.0,21.0,21.0,154.64675592173018,Total Cohort,2006,92.0,78,84.8%,4,4.3%,20102011,413,9.0,2.2,45,10.9,150,36.3,172,41.6,28,6.8,186.0,45.0,227.0,55.0,Manhattan,40.716412393000496,-73.99267584399969
